title,progress,earned_trophies,in_ps_plus,price,discount,priority
MONSTER HUNTER RISE,1,"0/1P, 0/6G, 0/15S, 1/78B",False,N/A,N/A,Outros
Surgeon Simulator,1,"0/1P, 0/2G, 0/5S, 1/48B",False,N/A,N/A,Outros
Grand Theft Auto V,1,"0/1P, 0/3G, 0/8S, 1/47B",False,N/A,N/A,Outros
SEGA MEGA DRIVE Ultimate Collection,1,"0/1P, 0/4G, 0/13S, 1/17B",False,N/A,N/A,Outros
Ashen,1,"0/1P, 0/6G, 0/15S, 1/13B",False,N/A,N/A,Outros
God of War III Remastered,1,"0/1P, 0/5G, 0/11S, 1/18B",False,N/A,N/A,Outros
Marvel's Spider-Man: Miles Morales,1,"0/1P, 0/2G, 0/10S, 1/37B",False,N/A,N/A,Outros
The Seven Deadly Sins　Knights of Britannia,1,"0/1P, 0/3G, 0/8S, 1/34B",False,N/A,N/A,Outros
Assassin's Creed® Liberation Remastered,0,"0/1P, 0/4G, 0/18S, 0/8B",False,N/A,N/A,Outros
FIFA 21,0,"0/1P, 0/3G, 0/17S, 0/16B",False,N/A,N/A,Outros
GAROU: MARK OF THE WOLVES,0,"0/0P, 0/0G, 0/2S, 0/17B",False,N/A,N/A,Outros
Blood Knights,0,"0/0P, 0/1G, 0/3S, 0/8B",False,N/A,N/A,Outros
DRAGON BALL XENOVERSE 2,0,"0/1P, 0/4G, 0/14S, 0/42B",False,N/A,N/A,Outros
"Street Fighter 30th Anniversary Collection
",0,"0/0P, 0/0G, 0/3S, 0/14B",False,N/A,N/A,Outros
PRO EVOLUTION SOCCER 2018,0,"0/1P, 0/2G, 0/10S, 0/37B",False,N/A,N/A,Outros
Dragon Ball Z: Battle of Z,0,"0/1P, 0/2G, 0/12S, 0/34B",False,N/A,N/A,Outros
FIFA 19,0,"0/1P, 0/3G, 0/8S, 0/34B",False,N/A,N/A,Outros
God of War® Trophies,0,"0/1P, 0/5G, 0/10S, 0/20B",False,N/A,N/A,Outros
Tower of Fantasy,0,"0/1P, 0/7G, 0/10S, 0/8B",False,N/A,N/A,Outros
NARAKA: BLADEPOINT,0,"0/1P, 0/3G, 0/10S, 0/27B",False,N/A,N/A,Outros
